cost_real_0,cost_real_1,cost_real_2,timestep
-1.000000000000000000e+00,-3.633953094482421875e+01,-3.426179885864257812e+00,1.340000000000000000e+02
-1.000000000000000000e+00,-3.734531402587890625e+01,-3.567227840423583984e+00,1.350000000000000000e+02
-1.000000000000000000e+00,-3.782347488403320312e+01,-3.699764251708984375e+00,1.360000000000000000e+02
-1.000000000000000000e+00,-3.976903152465820312e+01,-3.823576927185058594e+00,1.370000000000000000e+02
-1.000000000000000000e+00,-4.093196105957031250e+01,-1.789203166961669922e+00,1.380000000000000000e+02
-1.000000000000000000e+00,-3.953046035766601562e+01,-1.900485277175903320e+00,1.390000000000000000e+02
-1.000000000000000000e+00,-3.976420593261718750e+01,-2.011172056198120117e+00,1.400000000000000000e+02
-1.000000000000000000e+00,-4.025438308715820312e+01,-2.121082067489624023e+00,1.410000000000000000e+02
-1.000000000000000000e+00,-4.074645996093750000e+01,-2.230155467987060547e+00,1.420000000000000000e+02
-1.000000000000000000e+00,-4.124055099487304688e+01,-2.338367938995361328e+00,1.430000000000000000e+02
-1.000000000000000000e+00,-4.195597839355468750e+01,-2.445731163024902344e+00,1.440000000000000000e+02
-1.000000000000000000e+00,-4.244816970825195312e+01,-2.552234888076782227e+00,1.450000000000000000e+02
-1.000000000000000000e+00,-4.273749923706054688e+01,-2.657790660858154297e+00,1.460000000000000000e+02
-1.000000000000000000e+00,-4.324174499511718750e+01,-2.762299060821533203e+00,1.470000000000000000e+02
-1.000000000000000000e+00,-4.374872589111328125e+01,-2.865697145462036133e+00,1.480000000000000000e+02
-1.000000000000000000e+00,-5.389797210693359375e+01,-2.967961072921752930e+00,1.490000000000000000e+02
-1.000000000000000000e+00,-4.477221679687500000e+01,-3.069076538085937500e+00,1.500000000000000000e+02
-1.000000000000000000e+00,-4.528894042968750000e+01,-3.169013977050781250e+00,1.510000000000000000e+02
-1.000000000000000000e+00,-4.580931472778320312e+01,-3.267729759216308594e+00,1.520000000000000000e+02
-1.000000000000000000e+00,-4.936371994018554688e+01,-3.365187168121337891e+00,1.530000000000000000e+02
-1.000000000000000000e+00,-5.005015945434570312e+01,-3.461390972137451172e+00,1.540000000000000000e+02
-1.000000000000000000e+00,-5.057840347290039062e+01,-3.556320667266845703e+00,1.550000000000000000e+02
-1.000000000000000000e+00,-4.793092346191406250e+01,-3.649928569793701172e+00,1.560000000000000000e+02
-1.000000000000000000e+00,-4.861383438110351562e+01,-3.742204189300537109e+00,1.570000000000000000e+02
-1.000000000000000000e+00,-4.901813888549804688e+01,-3.761071205139160156e+00,1.580000000000000000e+02
-1.000000000000000000e+00,-4.970140457153320312e+01,-3.710501194000244141e+00,1.590000000000000000e+02
-1.000000000000000000e+00,-5.012527084350585938e+01,-3.660415172576904297e+00,1.600000000000000000e+02
-1.000000000000000000e+00,-5.372420883178710938e+01,-3.610819339752197266e+00,1.610000000000000000e+02
-1.000000000000000000e+00,-5.125317001342773438e+01,-3.561725139617919922e+00,1.620000000000000000e+02
-1.000000000000000000e+00,-5.182540130615234375e+01,-3.513146400451660156e+00,1.630000000000000000e+02
-1.000000000000000000e+00,-5.240334320068359375e+01,-3.465074062347412109e+00,1.640000000000000000e+02
-1.000000000000000000e+00,-5.298720169067382812e+01,-3.417504310607910156e+00,1.650000000000000000e+02
-1.000000000000000000e+00,-5.357666015625000000e+01,-3.370428562164306641e+00,1.660000000000000000e+02
-1.000000000000000000e+00,-5.721339035034179688e+01,-3.323840141296386719e+00,1.670000000000000000e+02
-1.000000000000000000e+00,-5.477432632446289062e+01,-3.277798175811767578e+00,1.680000000000000000e+02
-1.000000000000000000e+00,-5.538249206542968750e+01,-3.232312679290771484e+00,1.690000000000000000e+02
-1.000000000000000000e+00,-5.599769973754882812e+01,-3.187399387359619141e+00,1.700000000000000000e+02
-1.000000000000000000e+00,-5.661946487426757812e+01,-3.143082141876220703e+00,1.710000000000000000e+02
-1.000000000000000000e+00,-5.724802780151367188e+01,-3.099312782287597656e+00,1.720000000000000000e+02
-1.000000000000000000e+00,-5.788327407836914062e+01,-3.056071281433105469e+00,1.730000000000000000e+02
-1.000000000000000000e+00,-5.852563858032226562e+01,-3.013340473175048828e+00,1.740000000000000000e+02
-1.000000000000000000e+00,-5.917559814453125000e+01,-2.971137523651123047e+00,1.750000000000000000e+02
-1.000000000000000000e+00,-5.983253860473632812e+01,-2.929521083831787109e+00,1.760000000000000000e+02
-1.000000000000000000e+00,-6.049715042114257812e+01,-2.888520956039428711e+00,1.770000000000000000e+02
-1.000000000000000000e+00,-6.116924667358398438e+01,-2.848118543624877930e+00,1.780000000000000000e+02
-1.000000000000000000e+00,-6.184900665283203125e+01,-2.808300971984863281e+00,1.790000000000000000e+02
-1.000000000000000000e+00,-6.253672409057617188e+01,-2.769025802612304688e+00,1.800000000000000000e+02
-1.000000000000000000e+00,-6.323271179199218750e+01,-2.730268239974975586e+00,1.810000000000000000e+02
-1.000000000000000000e+00,-6.393669128417968750e+01,-2.692054033279418945e+00,1.820000000000000000e+02
-1.000000000000000000e+00,-6.464853668212890625e+01,-2.654402732849121094e+00,1.830000000000000000e+02
-1.000000000000000000e+00,-6.536909484863281250e+01,-2.617334842681884766e+00,1.840000000000000000e+02
-1.000000000000000000e+00,-6.609823608398437500e+01,-2.580861568450927734e+00,1.850000000000000000e+02
-1.000000000000000000e+00,-6.988179779052734375e+01,-2.544970273971557617e+00,1.860000000000000000e+02
-1.000000000000000000e+00,-6.758244323730468750e+01,-2.509663343429565430e+00,1.870000000000000000e+02
-1.000000000000000000e+00,-6.833789062500000000e+01,-2.474882841110229492e+00,1.880000000000000000e+02
-1.000000000000000000e+00,-6.910248565673828125e+01,-2.440647363662719727e+00,1.890000000000000000e+02
-1.000000000000000000e+00,-6.987577819824218750e+01,-2.406918287277221680e+00,1.900000000000000000e+02
-1.000000000000000000e+00,-7.065847778320312500e+01,-2.373715400695800781e+00,1.910000000000000000e+02
-1.000000000000000000e+00,-7.145059967041015625e+01,-2.341081380844116211e+00,1.920000000000000000e+02
-1.000000000000000000e+00,-7.225215148925781250e+01,-2.309002637863159180e+00,1.930000000000000000e+02
-1.000000000000000000e+00,-7.306269836425781250e+01,-2.277498006820678711e+00,1.940000000000000000e+02
-1.000000000000000000e+00,-7.388265228271484375e+01,-2.246541500091552734e+00,1.950000000000000000e+02
-1.000000000000000000e+00,-7.471200561523437500e+01,-2.216086387634277344e+00,1.960000000000000000e+02
-1.000000000000000000e+00,-7.558522796630859375e+01,-2.186133623123168945e+00,1.970000000000000000e+02
