ax_clip,deltaf_clip_deg,timestep
9.796163998544216156e-03,1.495788693428039551e+00,2.660000000000000000e+02
1.390423253178596497e-02,1.921326756477355957e+00,2.670000000000000000e+02
-1.144024543464183807e-02,1.357885122299194336e+00,2.680000000000000000e+02
-2.382850833237171173e-02,-1.992502622306346893e-02,2.690000000000000000e+02
5.047543905675411224e-03,-1.570587515830993652e+00,2.700000000000000000e+02
2.789387293159961700e-02,-2.472728013992309570e+00,2.710000000000000000e+02
-3.988499287515878677e-03,-2.147720575332641602e+00,2.720000000000000000e+02
-4.238741472363471985e-02,-6.086189746856689453e-01,2.730000000000000000e+02
-1.234555803239345551e-02,1.468671560287475586e+00,2.740000000000000000e+02
4.353186488151550293e-02,3.025034427642822266e+00,2.750000000000000000e+02
1.790981367230415344e-02,3.142480134963989258e+00,2.760000000000000000e+02
-6.192422658205032349e-02,1.564354300498962402e+00,2.770000000000000000e+02
-5.093236640095710754e-02,-1.076351046562194824e+00,2.780000000000000000e+02
5.319564789533615112e-02,-3.484721899032592773e+00,2.790000000000000000e+02
6.428145617246627808e-02,-4.317177772521972656e+00,2.800000000000000000e+02
-6.872260570526123047e-02,-2.908201217651367188e+00,2.810000000000000000e+02
-1.195610314607620239e-01,2.734097242355346680e-01,2.820000000000000000e+02
3.564027324318885803e-02,3.733971595764160156e+00,2.830000000000000000e+02
1.379961073398590088e-01,5.626821994781494141e+00,2.840000000000000000e+02
-3.899249061942100525e-02,4.707714080810546875e+00,2.850000000000000000e+02
-2.197133600711822510e-01,1.102669119834899902e+00,2.860000000000000000e+02
-4.257103800773620605e-02,-3.586264848709106445e+00,2.870000000000000000e+02
2.323493063449859619e-01,-6.955832004547119141e+00,2.880000000000000000e+02
6.991403549909591675e-02,-6.987104892730712891e+00,2.890000000000000000e+02
-3.307294249534606934e-01,-3.216053962707519531e+00,2.900000000000000000e+02
-2.316916733980178833e-01,2.810014724731445312e+00,2.910000000000000000e+02
3.045223355293273926e-01,7.000000000000000000e+00,2.920000000000000000e+02
3.337144255638122559e-01,7.000000000000000000e+00,2.930000000000000000e+02
-1.969396322965621948e-01,6.854582309722900391e+00,2.940000000000000000e+02
-4.403106868267059326e-01,1.329569220542907715e+00,2.950000000000000000e+02
7.149406522512435913e-02,-5.641392707824707031e+00,2.960000000000000000e+02
6.729546189308166504e-01,-7.000000000000000000e+00,2.970000000000000000e+02
3.547800183296203613e-01,-7.000000000000000000e+00,2.980000000000000000e+02
-2.368716001510620117e-01,-6.236000537872314453e+00,2.990000000000000000e+02
-3.045009970664978027e-01,-6.305152177810668945e-02,3.000000000000000000e+02
3.771694004535675049e-01,6.942753314971923828e+00,3.010000000000000000e+02
8.577365875244140625e-01,7.000000000000000000e+00,3.020000000000000000e+02
3.345727324485778809e-01,7.000000000000000000e+00,3.030000000000000000e+02
-2.284889072179794312e-01,5.061596393585205078e+00,3.040000000000000000e+02
-1.287508010864257812e-01,-1.493098378181457520e+00,3.050000000000000000e+02
6.068796515464782715e-01,-7.000000000000000000e+00,3.060000000000000000e+02
8.725632429122924805e-01,-7.000000000000000000e+00,3.070000000000000000e+02
2.736392319202423096e-01,-7.000000000000000000e+00,3.080000000000000000e+02
-2.080638557672500610e-01,-4.015425205230712891e+00,3.090000000000000000e+02
3.591357544064521790e-02,2.760548591613769531e+00,3.100000000000000000e+02
7.724407911300659180e-01,7.000000000000000000e+00,3.110000000000000000e+02
8.494222164154052734e-01,7.000000000000000000e+00,3.120000000000000000e+02
2.127270847558975220e-01,7.000000000000000000e+00,3.130000000000000000e+02
-1.826852262020111084e-01,2.995440006256103516e+00,3.140000000000000000e+02
1.877413094043731689e-01,-3.961244344711303711e+00,3.150000000000000000e+02
8.949312567710876465e-01,-7.000000000000000000e+00,3.160000000000000000e+02
7.938266396522521973e-01,-7.000000000000000000e+00,3.170000000000000000e+02
1.413397789001464844e-01,-7.000000000000000000e+00,3.180000000000000000e+02
-1.573450118303298950e-01,-1.967356443405151367e+00,3.190000000000000000e+02
3.370068371295928955e-01,5.164684295654296875e+00,3.200000000000000000e+02
9.937171339988708496e-01,7.000000000000000000e+00,3.210000000000000000e+02
7.182117104530334473e-01,7.000000000000000000e+00,3.220000000000000000e+02
6.706998497247695923e-02,6.940595149993896484e+00,3.230000000000000000e+02
-1.221488639712333679e-01,9.351710081100463867e-01,3.240000000000000000e+02
4.933568537235260010e-01,-6.340020656585693359e+00,3.250000000000000000e+02
1.075558304786682129e+00,-7.000000000000000000e+00,3.260000000000000000e+02
6.311650872230529785e-01,-7.000000000000000000e+00,3.270000000000000000e+02
-1.229858375154435635e-03,-6.170844554901123047e+00,3.280000000000000000e+02
-5.419063940644264221e-02,1.464009881019592285e-01,3.290000000000000000e+02
6.393385529518127441e-01,7.000000000000000000e+00,3.300000000000000000e+02
1.078538894653320312e+00,7.000000000000000000e+00,3.310000000000000000e+02
5.153747200965881348e-01,7.000000000000000000e+00,3.320000000000000000e+02
-6.082674860954284668e-02,5.028671741485595703e+00,3.330000000000000000e+02
3.622104227542877197e-02,-1.553033232688903809e+00,3.340000000000000000e+02
7.603813409805297852e-01,-7.000000000000000000e+00,3.350000000000000000e+02
1.001130342483520508e+00,-7.000000000000000000e+00,3.360000000000000000e+02
3.865214586257934570e-01,-7.000000000000000000e+00,3.370000000000000000e+02
